"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Bobs Hollow","1278	","Utah","SNOTEL","Millard","9319","38.94569","-112.15349","160300051401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","0","6","1","Lowest",,,"10","10","0","22","2021","2018","6"
"Bogus Basin","978	","Idaho","SNOTEL","Boise","6340","43.76377","-116.09685","170501220201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"24","29","57","5","5","-10","9","21","2","2nd Lowest",,,"17","14","3","55","2012","2001","23"
"Bondurant","0865	","Wyoming","ACIS","Sublette","6620","43.2","-110.4","170401030207	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"12","12","0","31","1959, 1969, 2008, more","1996, 2001","64"
"Bone Springs Div","358	","Wyoming","SNOTEL","Sheridan","9350","44.67888","-107.5811","100800100102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","18",,,"78","78","86","27","28","-5","17","16","4",,,,"23","23","13","32","2015","2006, 2011","19"
"Bonneville Dam","350897	","Oregon","ACIS","Multnomah","62","45.6353","-121.9522","170800010801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"0","0","0","3","2018, 2019, 2020, more","1942","66"
"Boss Mountain Mine","1C20P	","British Columbia","Cooperator Snow Sensors","	","4846","52.1","-120.86667","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"28","27","7","69","2002","2009","21"
"Bostetter R.S.","359	","Idaho","SNOTEL","Cassia","7500","42.16442","-114.19272","170402120201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"50","62","83","9","9","-3","13","14","3",,,,"10","8","1","19","2008","2010, 2018","16"
"Boulder Mountain","360	","Montana","SNOTEL","Meagher","7950","46.5596","-111.28973","100301030501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"48","50","100","16","16","-12","0","21","1","Lowest",,,"25","24","12","42","2021","2005","21"
"Boulder Rearing Stn","0951	","Wyoming","ACIS","Sublette","6940","42.71666","-109.68333","140401020602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"2","2","0","6","2008, 2012, 2020, more","1992, 2005, 2018","32"
"Bourne","361	","Oregon","SNOTEL","Baker","5850","44.83052","-118.18787","170502030101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-9","0","16","1","Lowest",,,"9","9","0","20","2021","2010","16"
"Bowman Springs","362	","Oregon","SNOTEL","Umatilla","4530","45.36428","-118.46715","170701030401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"6","6","0","17","2012","2010","15"
"Box Canyon","363	","Montana","SNOTEL","Park","6670","45.2719","-110.24903","100700020902	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"20","22","50","5","5","-7","5","19","1","Lowest",,,"10","9","2","21","2012, 2021","2005","20"
"Box Creek","364	","Utah","SNOTEL","Sevier","9853","38.50809","-112.01856","160300020106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","4","23","1","Lowest",,,"9","8","0","27","2017, 2021","2004","24"
"Box Springs","1156	","Utah","SNOTEL","Piute","9228","38.49746","-112.00779","160300020107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","9","11","1","Lowest",,,"7","6","0","18","2017, 2021","2019","12"
"Brackett Creek","365	","Montana","SNOTEL","Gallatin","7320","45.89107","-110.93851","100700030403	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"33","35","44","9","10","-13","0","20","1","Lowest",,,"21","20","7","44","2021","2005","20"
"Brian Head","1154	","Utah","SNOTEL","Iron","10039","37.67994","-112.85674","160300060201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"40","43","43","10","9","-8","10","10","2","2nd Lowest",,,"15","14","0","35","2017","2019","11"
"Brighton","366	","Utah","SNOTEL","Salt Lake","8766","40.59936","-111.58167","160202040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"17","18","23","4","4","-14","0","25","1","Lowest",,,"18","17","3","42","2021","2001","25"
"Bristlecone Trail","1111	","Nevada","SNOTEL","Clark","8890","36.31575","-115.69543","150100150206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","31","10","1","Lowest",,,"5","3","0","19","2017, 2020, 2021, more","2011","14"
"Brooklyn Lake","367	","Wyoming","SNOTEL","Albany","10240","41.35885","-106.23209","101800100502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"28","39","75","9","10","-14","0","19","1","Lowest",,,"32","23","9","168","2021","2005","19"
"Brown Duck","368	","Utah","SNOTEL","Duchesne","10574","40.58102","-110.58587","140600030604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"74","77","100","23","24","-5","39","12","7",,,,"23","22","11","45","2009","2004","19"
"Brown Top","1080	","Washington","SNOTEL","Whatcom","5830","48.92755","-121.19713","171100050601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","46",,,"84","92","90","28","28","-4","33","9","5",,,,"55","50","25","90","2019","2012","13"
"Brumley","369	","Colorado","SNOTEL","Lake","10600","39.08766","-106.5417","110200010101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"29","61","85","13","21","-7","22","15","3",,,,"38","18","1","235","2012","2003, 2004","19"
"Brundage Reservoir","370	","Idaho","SNOTEL","Adams","6250","45.04315","-116.13253","170602100104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"38","36","67","9","9","-14","6","17","2","2nd Lowest",,,"21","22","7","38","2008","2005","18"
"Buck Flat","371	","Utah","SNOTEL","Sanpete","9409","39.134","-111.43722","140600090302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-13","0","20","1","Lowest",,,"12","13","0","25","2021","2019","20"
"Buck Pasture","1192	","Utah","SNOTEL","Summit","9632","40.84456","-110.66068","140401070301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"60","64","100","17","17","-5","0","11","1","Lowest",,,"15","14","9","23","2021","2018, 2019","11"
"Buckboard Flat","1153	","Utah","SNOTEL","San Juan","8924","37.86943","-109.44717","140802030103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","11","9","1","Lowest",,,"10","6","0","31","2017, 2021","2019","10"
"Buckhorn","2216	","Nevada","SCAN","Washoe","3925","40.87959","-119.9534","180800020104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","60",,,"375","6,000","100","857","857","59","100","1","4","Highest",,,"16","1","0","60","2015, 2020","2021","4"
"Buckinghorse","1107	","Washington","SNOTEL","Jefferson","4870","47.7086","-123.45747","171100200501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"41","38","32","9","8","-21","38","9","6",,,,"32","34","0","76","2008, 2019","2012","14"
"Buckskin Joe","938	","Colorado","SNOTEL","Park","11150","39.3035","-106.11307","101900010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"9","8","33","2","2","-12","5","22","1","Lowest",,,"11","13","1","22","2012, 2021","2005, 2018","23"
"Buckskin Lake AM","1292	","Oregon","SNOLITE","Harney","5190","43.02503","-118.94785","171200030206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,,,,"0","0","0","100","1","1",,,,"0","0","0","0","2019, 2020, 2021, more","2019, 2020, 2021, more","4"
"Buckskin Lower","373	","Nevada","SNOTEL","Humboldt","6930","41.75067","-117.53182","160401090502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","6","17","1","Lowest",,,"8","10","0","15","2008, 2021","2004","18"
"Buffalo Park","913	","Colorado","SNOTEL","Grand","9240","40.22861","-106.59528","140100010706	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"41","65","100","13","18","-6","16","17","2","2nd Lowest",,,"27","17","9","214","2009","2007","20"
"Bug Lake","374	","Utah","SNOTEL","Rich","7987","41.68541","-111.41987","160102010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"24","25","57","6","7","-12","0","23","1","Lowest",,,"17","16","4","34","2021","2001","23"
"Bull Basin AM","1293	","Idaho","SNOLITE","Owyhee","5480","42.35673","-116.95906","170501041703	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0",,"0","0","-2","0","4","1","Lowest",,,"2","2","0","3","2021","2018, 2019","4"
"Bumping Ridge","375	","Washington","SNOTEL","Yakima","4610","46.81003","-121.33058","170300020105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"21","17","22","4","4","-19","17","16","3",,,,"19","23","2","40","2008","2006","19"
"Bunchgrass Mdw","376	","Washington","SNOTEL","Pend Oreille","5000","48.68688","-117.17633","170102160401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"52","57","75","14","14","-9","0","17","1","Lowest",,,"23","21","12","41","2021","2013","17"
"Burgess Junction","377	","Wyoming","SNOTEL","Sheridan","7880","44.78765","-107.52917","100901010202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"60","64","82","16","17","-5","18","15","2","2nd Lowest",,,"15","14","6","26","2012","2011","18"
"Burnside Lake","1051	","California","SNOTEL","Alpine","8129","38.71943","-119.8942","160502010107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","6","18","1","Lowest",,,"15","10","0","42","2007, 2021","2010","19"
"Burnt Bridge Creek","3C08P	","British Columbia","Cooperator Snow Sensors","	","4360","52.46667","-126.23333","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"33","38","0","54","2009","2006","21"
"Burnt Mountain","942	","Washington","SNOTEL","Pierce","4170","47.0444","-121.94032","171100140103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"11","20","25","2","2","-4","19","18","4",,,,"9","5","0","28","2002, 2008, 2019","2005","22"
"Burnt Mtn","981	","Montana","SNOTEL","Carbon","5880","45.2401","-109.45961","100700060802	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"43","50","27","10","11","-3","26","15","3",,,,"7","6","0","18","2012","2013","20"
"Burro Mountain","378	","Colorado","SNOTEL","Rio Blanco","9400","39.87505","-107.59853","140500050302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"14","13","25","3","4","-13","0","19","1","Lowest",,,"14","15","2","29","2021","2005","19"
"Burroughs Creek","379	","Wyoming","SNOTEL","Fremont","8750","43.69733","-109.67021","100800010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"6","6","25","2","2","-15","0","18","1","Lowest",,,"17","16","1","28","2021","2007, 2010","18"
"Burts Miller Ranch","1135	","Utah","SNOTEL","Summit","8000","40.98492","-110.85075","160101010105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"17","17","25","4","4","-5","17","11","2","2nd Lowest",,,"6","6","0","11","2017","2013, 2018","13"
"Butte","380	","Colorado","SNOTEL","Gunnison","10160","38.89433","-106.953","140200010206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"43","43","86","8","11","-8","6","18","2","2nd Lowest",,,"14","14","0","28","2012","2005","19"
"Calamity","1109	","Washington","SNOTEL","Skamania","2500","45.90362","-122.21633","170800020603	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","77","4","1","Lowest",,,"1","0","0","9","2019, 2020, 2021, more","2010","14"
"Call Meadows AM","1289	","Oregon","SNOLITE","Harney","5380","43.81191","-118.78565","171200010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"5","3","1","11","2020","2019","3"
"Calvert Creek","381	","Montana","SNOTEL","Deer Lodge","6430","45.8838","-113.32553","100200040801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"11","10","100","3","3","-9","11","17","2","2nd Lowest",,,"9","10","0","21","2008","2005","19"
"Camas Creek Divide","382	","Idaho","SNOTEL","Elmore","5710","43.26548","-115.3453","170402200101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"14","12","20","2","2","-7","9","11","2","2nd Lowest",,,"7","8","0","17","2012","2010","12"
"Camp Jackson","383	","Utah","SNOTEL","San Juan","8858","37.81333","-109.48723","140802010301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-9","8","23","1","Lowest",,,"10","9","0","25","2012, 2017, 2021","2019","25"
"Canyon","384	","Wyoming","SNOTEL","Park","7870","44.71961","-110.51084","100700010705	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"19","19","50","6","6","-13","0","19","1","Lowest",,,"16","16","3","26","2021","2005","19"
"Carrot Basin","385	","Montana","SNOTEL","Gallatin","9000","44.96192","-111.29403","100200080105	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","28",,,"85","97","93","30","31","-1","40","16","9",,,,"33","29","19","54","2002","1996","26"
"Carson Pass","1067	","California","SNOTEL","Alpine","8360","38.6927","-120.0022","180201290101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"20","29","29","4","4","-10","6","17","2","2nd Lowest",,,"20","14","2","43","2007","2010, 2012, 2019","18"
"Cascade","386	","Colorado","SNOTEL","San Juan","8880","37.65083","-107.80602","140801040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-9","19","14","1","Lowest",,,"8","9","0","23","2012, 2017, 2021, more","2013","17"
"Cascade #2","387	","Colorado","SNOTEL","San Juan","8920","37.658","-107.80268","140801040201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"7","6","0","23","2017","2013","17"
"Cascade Mountain","1039	","Utah","SNOTEL","Utah","7774","40.283","-111.60992","160202030505	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-12","0","20","1","Lowest",,,"12","12","0","23","2021","2018","20"
"Cascade Summit","388	","Oregon","SNOTEL","Deschutes","5100","43.59042","-122.0601","170900010301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"23","18","4","58","2008","1998","23"
"Casper Mtn.","389	","Wyoming","SNOTEL","Natrona","7900","42.73389","-106.31861","101800070804	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"16","13","3","40","2012, 2020","1996","23"
"Castle Creek","1130	","Wyoming","SNOTEL","Fremont","8400","43.6748","-109.3774","100800010401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-10","0","12","1","Lowest",,,"10","10","0","17","2021","2014","12"
"Castle Valley","390	","Utah","SNOTEL","Iron","9607","37.66098","-112.74093","160300010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-12","11","17","1","Lowest",,,"12","12","0","38","2017, 2020, 2021","2019","19"
"Cave Mountain","1152	","Nevada","SNOTEL","White Pine","10578","39.16337","-114.6133","160600080402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"57","100","80","9","10","0","50","6","2","2nd Lowest",,,"7","4","0","17","2017","2019","11"
"Cayuse Pass","1085	","Washington","SNOTEL","Pierce","5240","46.86954","-121.5343","171100140301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"16","16","23","3","3","-27","7","15","2","2nd Lowest",,,"32","32","0","73","2008","2006","16"
"Cedar Kiteen","4B18P	","British Columbia","Cooperator Snow Sensors","	","2992","55.15","-128.7","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"26","21","6","54","2002","2008","12"
"Cedar Pass","391	","California","SNOTEL","Modoc","7030","41.58233","-120.3025","180200020603	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"25","33","20","4","4","-4","7","15","2","2nd Lowest",,,"8","6","1","23","2008","2010","16"
"Celista Mountain","1F06P	","British Columbia","Cooperator Snow Sensors","	","5030","51.4","-118.98333","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"46","42","30","62","2010","2006","16"
"Chalender","1139	","Arizona","SNOTEL","Coconino","7100","35.26247","-112.06231","150602020305	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","50","7","1","Lowest",,,"2","0","0","8","2017, 2020, 2021, more","2019","13"
"Chalk Creek #1","392	","Utah","SNOTEL","Summit","9171","40.85464","-111.04765","160201010301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"30","37","88","9","9","-12","0","25","1","Lowest",,,"23","19","7","49","2021","2001","25"
"Chalk Creek #2","393	","Utah","SNOTEL","Summit","8208","40.88529","-111.06954","160201010301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"12","12","29","3","4","-14","0","25","1","Lowest",,,"17","16","2","36","2021","2001","25"
"Chamita","394	","New Mexico","SNOTEL","Rio Arriba","8400","36.95636","-106.65682","130201020204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"17","20","33","2","3","-4","20","17","4",,,,"6","5","0","20","2006, 2012, 2017","2011","21"
"Chapman Tunnel","1101	","Colorado","SNOTEL","Pitkin","10110","39.26217","-106.62931","140100040504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","11",,,"41","73","92","17","21","-4","21","12","3",,,,"27","15","5","194","2012","2007","15"
"Charkiln","2145	","Nevada","SCAN","Clark","6683","36.36651","-115.82047","160600150101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","78","3","1","Lowest",,,"1","0","0","6","2017, 2020, 2021, more","2019","10"
"Checkers Creek","2213	","Alaska","SCAN","Nome","326","65.403","-164.711","190501050503	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"3","0","0","10","2014, 2016","2015","3"
"Chemult Alternate","395	","Oregon","SNOTEL","Klamath","4850","43.22625","-121.80662","180102010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","25","13","1","Lowest",,,"5","3","0","26","2014, 2017, 2021, more","2005","17"
"Chena Lakes","1260	","Alaska","SNOTEL","Fairbanks North Star","500","64.75793","-147.21823","190803060901	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"10","10","10","10","2020","2020","1"
